0.82,0,1.12905,1.72262,0,1.41421,0.542976,0,0,0.662166
0.83,0,1.1432,1.72808,0,1.41421,0.549598,0,0,0.662166
0.84,0,1.15734,1.73361,0,1.41421,0.55622,0,0,0.662166
0.85,0,1.17148,1.73921,0,1.41421,0.562841,0,0,0.662166
0.86,0,1.18562,1.74487,0,1.41421,0.569463,0,0,0.662166
0.87,0,1.19976,1.7506,0,1.41421,0.576085,0,0,0.662166
0.88,0,1.21391,1.75639,0,1.41421,0.582706,0,0,0.662166
0.89,0,1.22805,1.76225,0,1.41421,0.589328,0,0,0.662166
0.9,0,1.24219,1.76818,0,1.41421,0.59595,0,0,0.662166
0.91,0,1.25633,1.77417,0,1.41421,0.602571,0,0,0.662166
0.92,0,1.27047,1.78023,0,1.41421,0.609193,0,0,0.662166
0.93,0,1.28462,1.78635,0,1.41421,0.615815,0,0,0.662166
0.94,0,1.29876,1.79255,0,1.41421,0.622436,0,0,0.662166
0.95,0,1.3129,1.7988,0,1.41421,0.629058,0,0,0.662166
0.96,0,1.32704,1.80513,0,1.41421,0.63568,0,0,0.662166
0.97,0,1.34119,1.81152,0,1.41421,0.642301,0,0,0.662166
0.98,0,1.35533,1.81797,0,1.41421,0.648923,0,0,0.662166
0.99,0,1.36947,1.82449,0,1.41421,0.655545,0,0,0.662166
1,0,1.38361,1.83108,0,1.41421,0.662166,0,0,0.662166
1.01,0,1.39775,1.83774,0,1.41421,0.668788,0,0,0.662166
1.02,0,1.4119,1.84446,0,1.41421,0.67541,0,0,0.662166
1.03,0,1.42604,1.85125,0,1.41421,0.682031,0,0,0.662166
1.04,0,1.44018,1.8581,0,1.41421,0.688653,0,0,0.662166
1.05,0,1.45432,1.86502,0,1.41421,0.695275,0,0,0.662166
1.06,0,1.46846,1.87201,0,1.41421,0.701896,0,0,0.662166
1.07,0,1.48261,1.87906,0,1.41421,0.708518,0,0,0.662166
1.08,0,1.49675,1.88618,0,1.41421,0.71514,0,0,0.662166
1.09,0,1.51089,1.89336,0,1.41421,0.721761,0,0,0.662166
1.1,0,1.52503,1.90061,0,1.41421,0.728383,0,0,0.662166
1.11,0,1.53918,1.90793,0,1.41421,0.735005,0,0,0.662166
1.12,0,1.55332,1.91531,0,1.41421,0.741626,0,0,0.662166
1.13,0,1.56746,1.92276,0,1.41421,0.748248,0,0,0.662166
1.14,0,1.5816,1.93028,0,1.41421,0.75487,0,0,0.662166
1.15,0,1.59574,1.93786,0,1.41421,0.761491,0,0,0.662166
1.16,0,1.60989,1.94551,0,1.41421,0.768113,0,0,0.662166
1.17,0,1.62403,1.95322,0,1.41421,0.774735,0,0,0.662166
1.18,0,1.63817,1.961,0,1.41421,0.781356,0,0,0.662166
1.19,0,1.65231,1.96885,0,1.41421,0.787978,0,0,0.662166
1.2,0,1.66645,1.97676,0,1.41421,0.7946,0,0,0.662166
1.21,0,1.6806,1.98474,0,1.41421,0.801221,0,0,0.662166
1.22,0,1.69474,1.99278,0,1.41421,0.807843,0,0,0.662166
1.23,0,1.70888,2.0009,0,1.41421,0.814465,0,0,0.662166
1.24,0,1.72302,2.00907,0,1.41421,0.821086,0,0,0.662166
1.25,0,1.73717,2.01732,0,1.41421,0.827708,0,0,0.662166
1.26,0,1.75131,2.02563,0,1.41421,0.83433,0,0,0.662166
